id	id_documento	token	classificacao
1	1	[CLS]	O
2	1	O	O
3	1	depoimento	O
4	1	do	O
5	1	ex	O
6	1	-	O
7	1	assessor	O
8	1	de	O
9	1	Jair	B-PESSOA
10	1	Rena	I-PESSOA
11	1	##n	I-PESSOA
12	1	Bols	I-PESSOA
13	1	##ona	I-PESSOA
14	1	##ro	I-PESSOA
15	1	,	O
16	1	filho	O
17	1	mais	O
18	1	novo	O
19	1	do	O
20	1	ex	O
21	1	-	O
22	1	presidente	O
23	1	Jair	B-PESSOA
24	1	Bols	I-PESSOA
25	1	##ona	I-PESSOA
26	1	##ro	I-PESSOA
27	1	(	O
28	1	P	B-ORGANIZACAO
29	1	##L	B-ORGANIZACAO
30	1	)	O
31	1	,	O
32	1	à	O
33	1	Polícia	B-ORGANIZACAO
34	1	Civil	I-ORGANIZACAO
35	1	do	I-ORGANIZACAO
36	1	Distrito	I-ORGANIZACAO
37	1	Federal	I-ORGANIZACAO
38	1	foi	O
39	1	adiado	O
40	1	[SEP]	O
41	1	[CLS]	O
42	1	A	O
43	1	apresentação	O
44	1	espont	O
45	1	##ânea	O
46	1	seria	O
47	1	às	O
48	1	14	O
49	1	##h	O
50	1	desta	O
51	1	sexta	B-TEMPO
52	1	-	I-TEMPO
53	1	feira	I-TEMPO
54	1	(	O
55	1	25	B-TEMPO
56	1	)	O
57	1	,	O
58	1	pres	O
59	1	##encial	O
60	1	,	O
61	1	mas	O
62	1	os	O
63	1	investigadores	O
64	1	achar	O
65	1	##am	O
66	1	melhor	O
67	1	outro	O
68	1	dia	O
69	1	,	O
70	1	ainda	O
71	1	não	O
72	1	definido	O
73	1	[SEP]	O
74	1	[CLS]	O
75	1	A	O
76	1	Polícia	B-ORGANIZACAO
77	1	Civil	I-ORGANIZACAO
78	1	explicou	O
79	1	à	O
80	1	CN	B-ORGANIZACAO
81	1	##N	B-ORGANIZACAO
82	1	que	O
83	1	houve	O
84	1	uma	O
85	1	sonda	O
86	1	##gem	O
87	1	,	O
88	1	mas	O
89	1	a	O
90	1	data	O
91	1	será	O
92	1	marcada	O
93	1	com	O
94	1	base	O
95	1	no	O
96	1	avançar	O
97	1	das	O
98	1	investigações	O
99	1	[SEP]	O
100	1	[CLS]	O
101	1	Diego	B-PESSOA
102	1	Pu	I-PESSOA
103	1	##pe	I-PESSOA
104	1	era	O
105	1	assessor	O
106	1	e	O
107	1	trabalhava	O
108	1	na	O
109	1	empresa	O
110	1	BR	B-ORGANIZACAO
111	1	Event	I-ORGANIZACAO
112	1	##os	I-ORGANIZACAO
113	1	,	O
114	1	que	O
115	1	funcionava	O
116	1	em	O
117	1	um	O
118	1	cama	O
119	1	##ro	O
120	1	##te	O
121	1	do	O
122	1	Estádio	B-LOCAL
123	1	Man	I-LOCAL
124	1	##é	I-LOCAL
125	1	Gar	I-LOCAL
126	1	##rin	I-LOCAL
127	1	##cha	I-LOCAL
128	1	,	O
129	1	em	O
130	1	Brasília	B-LOCAL
131	1	[SEP]	O
132	1	[CLS]	O
133	1	O	O
134	1	filho	O
135	1	do	O
136	1	ex	O
137	1	-	O
138	1	presidente	O
139	1	era	O
140	1	dono	O
141	1	dessa	O
142	1	empresa	O
143	1	[SEP]	O
144	1	[CLS]	O
145	1	Rena	B-PESSOA
146	1	##n	B-PESSOA
147	1	e	O
148	1	Diego	B-PESSOA
149	1	também	O
150	1	pratica	O
151	1	##vam	O
152	1	aulas	O
153	1	de	O
154	1	tiro	O
155	1	na	O
156	1	academia	O
157	1	investi	O
158	1	##gada	O
159	1	pela	O
160	1	polícia	O
161	1	,	O
162	1	a	O
163	1	35	B-ORGANIZACAO
164	1	##7	B-ORGANIZACAO
165	1	[SEP]	O
166	1	[CLS]	O
167	1	O	O
168	1	dono	O
169	1	do	O
170	1	clube	O
171	1	de	O
172	1	tiros	O
173	1	era	O
174	1	Maci	B-PESSOA
175	1	##el	B-PESSOA
176	1	Carvalho	I-PESSOA
177	1	,	O
178	1	que	O
179	1	foi	O
180	1	preso	O
181	1	na	O
182	1	manhã	O
183	1	de	O
184	1	quinta	B-TEMPO
185	1	-	I-TEMPO
186	1	feira	I-TEMPO
187	1	(	O
188	1	24	B-TEMPO
189	1	)	O
190	1	[SEP]	O
191	1	[CLS]	O
192	1	A	O
193	1	empresa	O
194	1	,	O
195	1	porém	O
196	1	,	O
197	1	foi	O
198	1	repass	O
199	1	##ada	O
200	1	para	O
201	1	Marco	B-PESSOA
202	1	Aurélio	I-PESSOA
203	1	Rodrigues	I-PESSOA
204	1	,	O
205	1	que	O
206	1	a	O
207	1	polícia	O
208	1	aponta	O
209	1	como	O
210	1	“	O
211	1	testa	O
212	1	de	O
213	1	ferro	O
214	1	”	O
215	1	para	O
216	1	“	O
217	1	esconder	O
218	1	”	O
219	1	os	O
220	1	verdadeiros	O
221	1	donos	O
222	1	[SEP]	O
223	1	[CLS]	O
224	1	Os	O
225	1	investigadores	O
226	1	do	O
227	1	Departamento	B-ORGANIZACAO
228	1	de	I-ORGANIZACAO
229	1	Comba	I-ORGANIZACAO
230	1	##te	I-ORGANIZACAO
231	1	ao	I-ORGANIZACAO
232	1	Crime	I-ORGANIZACAO
233	1	Organ	I-ORGANIZACAO
234	1	##izado	I-ORGANIZACAO
235	1	e	I-ORGANIZACAO
236	1	Corr	I-ORGANIZACAO
237	1	##up	I-ORGANIZACAO
238	1	##ção	I-ORGANIZACAO
239	1	(	O
240	1	Dec	B-ORGANIZACAO
241	1	##or	B-ORGANIZACAO
242	1	)	O
243	1	querem	O
244	1	saber	O
245	1	do	O
